NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted
NCT02398513,Regorafenib Phase I Study in Mainland Chinese Patients,https://clinicaltrials.gov/study/NCT02398513,,COMPLETED,NO,"DRUG: Regorafenib (Stivarga, BAY73-4506)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,18,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-04,2015-11,2016-06,2015-03-25,,2016-08-01
NCT02396316,Japanese Phase 3 Study of Aflibercept in Neovascular Glaucoma Patients,https://clinicaltrials.gov/study/NCT02396316,VEGA,COMPLETED,YES,"DRUG: Aflibercept (Eylea, BAY 86-5321)|DRUG: Sham Injection",Bayer,Regeneron Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE3,54,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2015-04-02,2016-06-16,2016-09-06,2015-03-24,2017-07-21,2017-09-15
NCT02394093,To Evaluate the Bioavailability of a Single Oral Dose of the Acetylsalicylic Acid Containing Dry Powder 500 mg in Comparison to the Bioavailability of a Single Oral Dose of Aspirin Tablets and Aspirin Effervescent Tablets in Healthy Adults.,https://clinicaltrials.gov/study/NCT02394093,Icicle,COMPLETED,NO,"DRUG: Aspirin (Acetylsalicylic acid, BAYe4465)|DRUG: Aspirin (Acetylsalicylic acid, BAYe4465)|DRUG: Aspirin (Acetylsalicylic acid, BAYe4465)",Bayer,,ALL,ADULT,PHASE1,30,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2015-02,2015-03,2015-03,2015-03-20,,2016-09-19
NCT02391116,Phase II Copanlisib in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL),https://clinicaltrials.gov/study/NCT02391116,,COMPLETED,YES,"DRUG: Copanlisib (Aliqopa, BAY80-6946)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,67,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-05-08,2016-07-05,2018-01-19,2015-03-18,2018-01-08,2019-01-04
NCT02390154,Roniciclib Mass Balance Study,https://clinicaltrials.gov/study/NCT02390154,,COMPLETED,NO,DRUG: roniciclib (BAY 1000394)|DRUG: roniciclib (BAY 1000394),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,7,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-04,2016-03,2016-06,2015-03-17,,2016-07-15
NCT02369016,Phase III Copanlisib in Rituximab-refractory iNHL,https://clinicaltrials.gov/study/NCT02369016,CHRONOS-2,COMPLETED,YES,DRUG: Copanlisib (BAY 80-6946),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,25,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-09-22,2022-10-26,2022-10-26,2015-02-23,2023-11-18,2023-11-18
NCT02367027,Relative Bioavailability Study in Healthy Subjects Comparing 2 Dry Powder Oral Suspensions of Rivaroxaban Under Fasting and 20 mg of an Oral Suspension of Rivaroxaban Under Fed Conditions to 10 mg of an Immediate Release Tablet Under Fasting Conditions,https://clinicaltrials.gov/study/NCT02367027,,COMPLETED,NO,"DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Rivaroxaban (Xarelto, BAY59-7939)",Bayer,"Janssen Research & Development, LLC",MALE,ADULT,PHASE1,18,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: ",2015-02,2015-04,2015-06,2015-02-20,,2015-06-10
NCT02366949,Phase I Study of Oral BAY 1217389 in Combination With Intravenous Paclitaxel,https://clinicaltrials.gov/study/NCT02366949,,COMPLETED,NO,DRUG: BAY1217389|DRUG: Paclitaxel,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,75,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-02-27,2018-03-30,2019-04-18,2015-02-19,,2020-04-07
NCT02363855,Phase 1 Dose Escalation Study of BAY 1841788 in Japanese Metastatic Castration-resistant Prostate Cancer (mCRPC) Subjects,https://clinicaltrials.gov/study/NCT02363855,,COMPLETED,NO,DRUG: BAY 1841788(ODM-201),Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE1,9,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-02-23,2015-11-19,2018-01-18,2015-02-16,,2018-01-25
NCT02345382,Phase I Dose Escalation of BAY1143572 in Subjects With Acute Leukemia,https://clinicaltrials.gov/study/NCT02345382,,COMPLETED,NO,"DRUG: Atuveciclib, BAY1143572",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,42,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-02-19,2016-09-14,2017-07-30,2015-01-26,,2018-06-25
NCT02342665,"Japanese Phase Ib/II Copanlisib in Relapsed, Indolent B-cell NHL",https://clinicaltrials.gov/study/NCT02342665,,COMPLETED,NO,DRUG: Copanlisib (BAY80-6946),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,25,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-04-21,2018-09-14,2022-02-10,2015-01-21,,2023-01-20
NCT02332031,Sorafenib Drug Drug Interaction Study in Healthy Male Subjects,https://clinicaltrials.gov/study/NCT02332031,,COMPLETED,NO,"DRUG: Sorafenib (Nexavar, BAY43-9006)|DRUG: Levothyroxine",Bayer,,MALE,ADULT,PHASE1,25,INTERVENTIONAL,"Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: ",2015-02,2015-06,2015-09,2015-01-06,,2015-10-12
NCT02312973,"To Investigate Pharmacokinetics (Absorption, Distribution, Elimination), Safety and Tolerability of a Single Oral Dose of 75 mg Molidustat Tablet in Male and Female Subjects Requiring Hemo- or Peritoneal Dialysis Compared to Healthy Subjects",https://clinicaltrials.gov/study/NCT02312973,,COMPLETED,NO,DRUG: Molidustat(BAY85-3934)|DRUG: Molidustat(BAY85-3934),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,40,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2015-01-14,2015-12-02,2016-06-01,2014-12-09,,2021-01-25
NCT02309411,EINSTEIN Junior Phase II: Oral Rivaroxaban in Young Children With Venous Thrombosis,https://clinicaltrials.gov/study/NCT02309411,EINSTEINJr,COMPLETED,YES,"DRUG: Rivaroxaban (Xarelto, BAY59-7939)",Bayer,"Janssen Research & Development, LLC",ALL,CHILD,PHASE2,46,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-01-15,2017-04-05,2017-04-05,2014-12-05,2018-06-13,2018-08-21
NCT02283762,Efficacy and Safety of Riociguat in Patients With Systemic Sclerosis,https://clinicaltrials.gov/study/NCT02283762,,COMPLETED,YES,"DRUG: Riociguat (Adempas, BAY63-2521)|DRUG: Placebo",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,121,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2015-01-15,2017-12-15,2019-03-28,2014-11-05,2019-01-25,2020-02-05
NCT02262663,"Study in Healthy Young Women to Investigate the Pharmacodynamics, Pharmacokinetics and Safety of Vilaprisan",https://clinicaltrials.gov/study/NCT02262663,,COMPLETED,NO,DRUG: Vilaprisan (BAY1002670),Bayer,,FEMALE,ADULT,PHASE1,70,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: ",2014-10,2015-09,2015-12,2014-10-13,,2016-03-16
NCT02258451,Study of Radium-223 Dichloride in Combination With Exemestane and Everolimus Versus Placebo in Combination With Exemestane and Everolimus in Subjects With Bone Predominant HER2 Negative Hormone Receptor Positive Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT02258451,,COMPLETED,YES,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Placebo (saline)|DRUG: Exemestane|DRUG: Everolimus",Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,283,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2015-06-04,2020-01-22,2022-10-28,2014-10-07,2022-03-10,2023-11-24
NCT02253420,COPANLISIB (BAY80-6946) Drug-drug Interaction and Cardiovascular Safety Study in Advanced Solid Tumor and Non-Hodgkin's Lymphoma Patients,https://clinicaltrials.gov/study/NCT02253420,,COMPLETED,NO,DRUG: Copanlisib (BAY80-6946)|DRUG: Itraconazole|DRUG: Rifampin|DRUG: Copanlisib (BAY80-6946),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,51,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2014-10-08,2018-03-12,2019-08-13,2014-10-01,,2020-12-14
NCT02234843,EINSTEIN Junior: Oral Rivaroxaban in Children With Venous Thrombosis,https://clinicaltrials.gov/study/NCT02234843,EINSTEIN Jr,COMPLETED,YES,"DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Rivaroxaban (Xarelto, BAY59-7939)|DRUG: Standard of Care",Bayer,"Janssen Research & Development, LLC",ALL,CHILD,PHASE3,500,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-11-13,2019-01-30,2019-01-30,2014-09-09,2020-04-01,2020-04-01
NCT02229461,Naproxen Sodium/ASA Platelet Study,https://clinicaltrials.gov/study/NCT02229461,Kontakt,COMPLETED,YES,"DRUG: Naproxen Sodium (Aleve, BAY117031)|DRUG: Acetylsalicylic Acid (Aspirin, BAYE4465)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,117,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-02,2015-05,2015-05,2014-09-01,2016-06-10,2016-07-15
NCT02212080,"First in Human Study in Healthy Volunteers to Investigate the Safety, Tolerability and Pharmacokinetics of BAY1214784",https://clinicaltrials.gov/study/NCT02212080,,COMPLETED,NO,DRUG: BAY1214784|DRUG: Placebo,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE1,48,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2014-09,2015-03,2015-03,2014-08-08,,2015-03-11
NCT02203331,"Bay98-7196, Dose Finding / POC Study",https://clinicaltrials.gov/study/NCT02203331,,COMPLETED,YES,DRUG: Placebo|DRUG: Levonorgestrel|DRUG: Anastrozole|DRUG: Lupron / Leuprolide acetate,Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,319,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2014-10-16,2016-10-24,2016-10-24,2014-07-29,2018-01-04,2023-11-07
NCT02200614,Efficacy and Safety Study of Darolutamide (ODM-201) in Men With High-risk Non-metastatic Castration-resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT02200614,ARAMIS,COMPLETED,YES,"DRUG: Darolutamide (Nubeqa, BAY1841788)|DRUG: Placebo",Bayer,"Orion Corporation, Orion Pharma",MALE,"ADULT, OLDER_ADULT",PHASE3,1509,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-09-12,2018-09-03,2021-06-14,2014-07-25,2019-10-29,2022-06-28
NCT02170038,Clinical Study Investigating the Conversion of the Contraceptive Compound Norethisterone Within the Body Towards the Contraceptive Compound Ethinylestradiol,https://clinicaltrials.gov/study/NCT02170038,,COMPLETED,NO,DRUG: Microgynon|DRUG: Noristerat(BAY86-6308),Bayer,,FEMALE,ADULT,PHASE1,16,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2014-06,2014-12,2015-03,2014-06-23,,2016-02-18
NCT02159326,Microgynon Riociguat Drug Interaction Study in Healthy Postmenopausal Women,https://clinicaltrials.gov/study/NCT02159326,,COMPLETED,NO,"DRUG: Microgynon|DRUG: Riociguat (Adempas,BAY63-2521)",Bayer,,FEMALE,"ADULT, OLDER_ADULT",PHASE1,31,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: ",2014-06,2015-03,2015-07,2014-06-09,,2015-08-14
NCT02159313,Relative Bioavailability Study,https://clinicaltrials.gov/study/NCT02159313,,COMPLETED,NO,"DRUG: Riociguat(Adempas,BAY63-2521)",Bayer,,MALE,ADULT,PHASE1,48,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: ",2014-06,2014-09,2015-01,2014-06-09,,2016-02-18
NCT02155582,Copanlisib Pharmacodynamic Study,https://clinicaltrials.gov/study/NCT02155582,,COMPLETED,NO,DRUG: Copanlisib (BAY80-6946),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,63,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2014-08-12,2016-10-04,2017-03-16,2014-06-04,,2017-06-16
NCT02131662,"Bay1002670, Fibroids, Safety and Efficacy EU,US,Can, Jap",https://clinicaltrials.gov/study/NCT02131662,ASTEROID 1,COMPLETED,YES,DRUG: BAY1002670|DRUG: BAY1002670|DRUG: BAY1002670|DRUG: BAY1002670|DRUG: Placebo,Bayer,,FEMALE,ADULT,PHASE2,309,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-05-15,2016-05-04,2016-05-04,2014-05-06,2017-12-08,2017-12-08
NCT02122913,A Study to Test the Safety of the Investigational Drug Larotrectinib in Adults That May Treat Cancer,https://clinicaltrials.gov/study/NCT02122913,,COMPLETED,NO,"DRUG: Larotrectinib (Vitrakvi, BAY2757556)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,75,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2014-05-04,2017-02-01,2021-04-09,2014-04-25,,2023-11-07
NCT02119221,Copanlisib Mass Balance Study,https://clinicaltrials.gov/study/NCT02119221,,COMPLETED,NO,DRUG: Copanlisib (BAY80-6946),Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE1,6,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2014-02,2014-04,2014-10,2014-04-21,,2014-10-28
NCT02114658,Sorafenib Phase II Study for Japanese Anaplastic or Medullary Thyroid Carcinoma Patients,https://clinicaltrials.gov/study/NCT02114658,,COMPLETED,NO,"DRUG: Sorafenib (Nexavar,BAY43-9006)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,18,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-04-15,2015-02-23,2016-08-02,2014-04-15,,2017-08-03
NCT02106845,Effect of Regorafenib on Digoxin and Rosuvastatin in Patients With Advanced Solid Malignant Tumors.,https://clinicaltrials.gov/study/NCT02106845,,COMPLETED,NO,"DRUG: Digoxin|DRUG: Rosuvastatin|DRUG: Regorafenib (Stivarga, BAY73-4506)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,42,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2014-04-22,2015-04-27,2018-06-12,2014-04-08,,2019-06-07
NCT02106832,Ciprofloxacin Dry Powder for Inhalation (DPI) in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),https://clinicaltrials.gov/study/NCT02106832,RESPIRE 2,COMPLETED,YES,DRUG: Ciprofloxacin (BAYQ3939) dry powder for inhalation|DRUG: Ciprofloxacin (BAYQ3939) dry powder for inhalation|DRUG: Placebo|DRUG: Placebo,Bayer,Novartis,ALL,"ADULT, OLDER_ADULT",PHASE3,521,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-04-30,2016-09-13,2016-10-19,2014-04-08,2017-09-01,2017-10-02
NCT02085148,A Phase I Dose Finding Study in Children With Solid Tumors Recurrent or Refractory to Standard Therapy,https://clinicaltrials.gov/study/NCT02085148,,COMPLETED,NO,DRUG: Regorafenib (BAY73-4506)|DRUG: Vincristine (Cellcristin®)|DRUG: Irinotecan (Irinotecan Cell pharm®),Bayer,,ALL,"CHILD, ADULT",PHASE1,62,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2014-04-11,2019-05-05,2024-03-13,2014-03-12,,2024-04-22
NCT02066402,Efficacy and Safety of Intravenous to Oral 6-Day Tedizolid Phosphate vs. Intravenous to Oral 10-Day Linezolid in Patients With Acute Bacterial Skin and Skin Structure Infection (ABSSSI),https://clinicaltrials.gov/study/NCT02066402,,COMPLETED,YES,DRUG: Tedizolid (BAY119-2631)|DRUG: Placebo Tedizolid (BAY119-2631)|DRUG: Linezolid|DRUG: Placebo Linezolid,Bayer,Merck Sharp & Dohme LLC,ALL,"ADULT, OLDER_ADULT",PHASE3,598,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-03-04,2016-03-06,2016-04-18,2014-02-19,2017-06-07,2017-06-07
NCT02064439,Reduced-dosed Rivaroxaban in the Long-term Prevention of Recurrent Symptomatic VTE(Venous Thromboembolism),https://clinicaltrials.gov/study/NCT02064439,EinsteinChoice,COMPLETED,YES,DRUG: BAY 59-7939|DRUG: BAY 59-7939|DRUG: ASA,Bayer,"Janssen Scientific Affairs, LLC",ALL,"ADULT, OLDER_ADULT",PHASE3,3365,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2014-03-05,2016-09-22,2016-11-04,2014-02-17,2017-12-19,2017-12-19
NCT02064426,Long Term Extension Study for the Maintenance Treatment of Anemia Associated With Chronic Kidney Disease (CKD) in Hemodialysis Subjects on Epoetin Alfa / Beta Treatment Versus BAY85-3934,https://clinicaltrials.gov/study/NCT02064426,DIALOGUE5,COMPLETED,NO,DRUG: Molidustat (BAY85-3934)|BIOLOGICAL: Epoetin alfa/beta,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,88,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-03-13,2016-10-19,2016-11-16,2014-02-17,,2019-09-20
NCT02064413,Essure (Model ESS310) Placement Rate Study,https://clinicaltrials.gov/study/NCT02064413,,COMPLETED,NO,DEVICE: ESS310 (BAY1454032),Bayer,,FEMALE,ADULT,PHASE3,134,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2014-03-17,2014-10-02,2014-11-26,2014-02-17,,2021-04-08
NCT02055482,Long-term Pre-dialysis Extension in Europe and Asia Pacific,https://clinicaltrials.gov/study/NCT02055482,DIALOGUE 3,COMPLETED,NO,DRUG: Molidustat (BAY85-3934)|BIOLOGICAL: Darbepoetin,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,166,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-06-24,2016-11-15,2016-12-12,2014-02-05,,2017-11-22
NCT02047890,Japanese BAY1000394 Monotherapy Phase I Study,https://clinicaltrials.gov/study/NCT02047890,,COMPLETED,NO,DRUG: BAY1000394 (2.5mg)|DRUG: BAY1000394 (5mg),Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1,12,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-05-19,2015-01-06,2018-07-19,2014-01-28,,2019-06-24
NCT02043678,"Radium-223 Dichloride and Abiraterone Acetate Compared to Placebo and Abiraterone Acetate for Men With Cancer of the Prostate When Medical or Surgical Castration Does Not Work and When the Cancer Has Spread to the Bone, Has Not Been Treated With Chemotherapy and is Causing no or Only Mild Symptoms",https://clinicaltrials.gov/study/NCT02043678,ERA 223,COMPLETED,YES,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Matching placebo (normal saline)|DRUG: Abiraterone|DRUG: Prednisone/Prednisolone",Bayer,"Janssen Research & Development, LLC",MALE,"ADULT, OLDER_ADULT",PHASE3,806,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-03-30,2018-02-15,2024-02-08,2014-01-23,2019-03-05,2024-02-26
NCT02040233,Multiple Dose Study in Heart Failure of BAY 1067197,https://clinicaltrials.gov/study/NCT02040233,PARSiFAL,COMPLETED,NO,DRUG: BAY1067197 (10 mg)|DRUG: BAY1067197|DRUG: Placebo (10 mg)|DRUG: Placebo,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,31,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2014-01-28,2015-01-29,2015-04-02,2014-01-20,,2019-06-21
NCT02034552,A Randomized Phase IIa Efficacy and Safety Study of Radium-223 Dichloride With Abiraterone Acetate or Enzalutamide in Metastatic Castration-resistant Prostate Cancer (CRPC),https://clinicaltrials.gov/study/NCT02034552,,COMPLETED,YES,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Abiraterone acetate|DRUG: Prednisone|DRUG: Enzalutamide",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE2,68,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-03-07,2016-07-15,2018-06-26,2014-01-13,2017-07-02,2019-07-23
NCT02032836,Comparative PK PD Study in PAH Patients (Fox vs. I-Neb),https://clinicaltrials.gov/study/NCT02032836,,COMPLETED,NO,"DRUG: lloprost(Ventavis,BAYQ6252, 20 µg/mL)|DRUG: lloprost(Ventavis,BAYQ6252, 10 µg/mL)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,27,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2014-03-10,2015-01-07,2017-09-29,2014-01-10,,2018-09-26
NCT02023697,Standard Dose Versus High Dose and Versus Extended Standard Dose Radium-223 Dichloride in Castration-resistant Prostate Cancer Metastatic to the Bone,https://clinicaltrials.gov/study/NCT02023697,,COMPLETED,YES,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)",Bayer,,MALE,"ADULT, OLDER_ADULT",PHASE2,391,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-03-10,2017-03-01,2018-08-09,2013-12-30,2018-07-12,2019-07-12
NCT02021409,Maintenance Treatment of Anemia in Pre-dialysis Subjects With Chronic Kidney Disease on Darbepoetin Treatment Versus BAY85-3934,https://clinicaltrials.gov/study/NCT02021409,DIALOGUE 2,COMPLETED,NO,DRUG: BAY85-3934|BIOLOGICAL: Darbepoetin alfa,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,126,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-01-28,2015-10-15,2015-11-23,2013-12-27,,2019-09-19
NCT02021370,15141 Fixed Dose Correction / naïve and Pre Dialysis (Europe and Asia Pacific),https://clinicaltrials.gov/study/NCT02021370,DIALOGUE 1,COMPLETED,NO,DRUG: BAY85-3934|DRUG: Placebo,Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE2,121,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-02-10,2015-09-15,2015-09-23,2013-12-27,,2019-09-20
NCT02007629,Riociguat Clinical Effects Studied in Patients With Insufficient Treatment Response to Phosphodiesterase-5 Inhibitor,https://clinicaltrials.gov/study/NCT02007629,RESPITE,COMPLETED,NO,"DRUG: Riociguat (Adempas, BAY63-2521)",Bayer,,ALL,"ADULT, OLDER_ADULT",PHASE3,61,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-02-18,2016-12-29,2016-12-29,2013-12-11,,2019-02-21
NCT02001909,Effect of Neomycin on the Pharmacokinetics of Regorafenib,https://clinicaltrials.gov/study/NCT02001909,,COMPLETED,NO,"DRUG: Regorafenib (Stivarga, BAY73-4506)|DRUG: Neomycin",Bayer,,MALE,ADULT,PHASE1,27,INTERVENTIONAL,"Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: ",2013-12,2014-04,2014-04,2013-12-05,,2015-08-13
